price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
272990000,3,5,5,385.0,709064,2015,0.0,0.0,центральный,чернышевская,spb
16100000,3,10,5,144.1,111727,1998,82.0,10.0,приморский,комендантский проспект,spb
24900000,6,6,5,174.2,142939,1913,107.0,15.0,петроградский,спортивная,spb
83700000,10,10,5,169.0,495266,2018,86.0,62.0,петроградский,чкаловская,spb
24720000,9,18,5,125.8,196502,2003,0.0,13.0,выборгский,проспект просвещения,spb
127000000,4,4,5,201.1,631526,1872,0.0,18.0,адмиралтейский,адмиралтейская,spb
24500000,4,4,5,142.0,172535,1952,85.0,16.0,выборгский,удельная,spb
41350000,4,5,5,113.7,363676,1828,81.0,24.0,центральный,гостиный двор,spb
14000000,3,4,5,113.3,123565,1917,78.0,14.0,калининский,площадь ленина,spb
39000000,5,6,5,166.7,233953,1998,106.0,17.0,адмиралтейский,садовая,spb
23800000,2,5,5,137.0,173722,1911,68.0,13.0,петроградский,чкаловская,spb
16200000,3,6,5,126.0,128571,1892,95.0,14.0,калининский,площадь ленина,spb
63700000,7,10,5,182.0,350000,2018,113.0,23.0,центральный,площадь александра невского,spb
88000000,6,6,5,212.0,415094,1911,93.0,60.0,петроградский,горьковская,spb
450000000,13,14,5,424.6,1059821,2017,213.0,99.0,петроградский,крестовский остров,spb
20850000,4,4,5,95.0,219473,1898,60.0,11.0,адмиралтейский,пушкинская,spb
28000000,3,6,5,112.0,250000,1989,47.0,10.0,адмиралтейский,садовая,spb
17500000,6,16,5,88.1,198637,1969,63.0,9.0,василеостровский,приморская,spb
34900000,5,16,5,171.2,203855,2008,108.0,46.0,московский,московская,spb
14950000,4,4,5,117.6,127125,1861,88.0,15.0,петроградский,спортивная,spb
14200000,4,4,5,103.0,137864,1852,63.0,9.0,центральный,чернышевская,spb
24500000,14,19,5,140.7,174129,1992,90.0,15.0,московский,московская,spb
14790000,4,5,5,115.2,128385,1904,0.0,8.0,центральный,площадь александра невского,spb
14900000,5,6,5,91.2,163377,1909,60.0,12.0,петроградский,горьковская,spb
15000000,5,6,5,125.6,119426,1909,90.0,17.0,центральный,площадь восстания,spb
26000000,3,3,5,138.7,187454,2005,83.0,15.0,выборгский,озерки,spb
50500000,4,4,5,144.8,348756,1916,0.0,0.0,петроградский,крестовский остров,spb
25000000,3,5,5,155.0,161290,1956,106.0,24.0,выборгский,удельная,spb
32990000,3,5,5,187.0,176417,1903,97.0,35.0,петроградский,горьковская,spb
15800000,4,6,5,100.0,158000,1910,71.0,9.0,петроградский,спортивная,spb
14300000,16,26,5,119.7,119465,2012,69.0,14.0,красносельский,ленинский проспект,spb
14900000,2,6,5,104.0,143269,1879,75.0,8.0,адмиралтейский,технологический институт,spb
26000000,4,5,5,121.8,213464,1845,88.0,21.0,центральный,чернышевская,spb
45000000,5,5,5,160.7,280024,1845,102.0,15.0,центральный,маяковская,spb
48500000,2,5,5,180.0,269444,1946,113.0,18.0,центральный,площадь восстания,spb
21850000,4,6,5,119.1,183459,1909,88.0,10.0,василеостровский,василеостровская,spb
7700000,2,5,5,59.0,130508,1962,0.0,7.0,кировский,ленинский проспект,spb
16900000,5,5,5,100.0,169000,1949,72.0,10.0,красногвардейский,новочеркасская,spb
20700000,2,13,5,107.0,193457,1988,68.0,9.0,василеостровский,приморская,spb
26000000,2,5,5,139.0,187050,1917,97.0,15.0,адмиралтейский,звенигородская,spb
47900000,16,19,5,154.3,310434,2004,90.0,22.0,василеостровский,приморская,spb
16700000,5,7,5,135.7,123065,1910,0.0,0.0,петроградский,петроградская,spb
17000000,2,4,5,163.8,103785,1917,94.0,12.0,адмиралтейский,технологический институт,spb
20990000,4,4,5,156.0,134551,1878,108.0,22.0,центральный,маяковская,spb
14900000,10,11,5,105.0,141904,1996,63.0,10.0,невский,ломоносовская,spb
39900000,12,12,5,265.8,150112,2006,0.0,0.0,выборгский,озерки,spb
17500000,4,5,5,117.8,148556,1917,85.0,11.0,фрунзенский,обводный канал,spb
17600000,3,4,5,101.0,174257,1917,63.0,12.0,центральный,чернышевская,spb
17000000,10,16,5,122.5,138775,1981,60.0,24.0,выборгский,проспект просвещения,spb
40500000,2,5,5,142.0,285211,1774,0.0,0.0,адмиралтейский,садовая,spb
19000000,2,4,5,124.8,152243,1838,73.0,20.0,центральный,владимирская,spb
16950000,8,9,5,90.1,188124,1970,62.0,9.0,василеостровский,приморская,spb
35000000,2,5,5,126.0,277777,1857,61.0,18.0,адмиралтейский,адмиралтейская,spb
47355849,12,17,5,177.0,267547,1993,0.0,0.0,василеостровский,приморская,spb
21000000,3,3,5,131.0,160305,1852,103.0,13.0,центральный,площадь александра невского,spb
43000000,5,27,5,183.0,234972,2019,153.0,0.0,московский,московская,spb
46000000,2,3,5,283.0,162544,1946,97.0,51.0,приморский,удельная,spb
36500000,2,3,5,190.0,192105,1806,140.0,18.0,василеостровский,василеостровская,spb
18500000,4,6,5,146.5,126279,1911,99.0,14.0,центральный,площадь восстания,spb
24700000,12,13,5,138.3,178597,1987,81.0,9.0,выборгский,озерки,spb
16200000,6,7,5,116.3,139294,1916,75.0,11.0,центральный,площадь александра невского,spb
12120000,9,15,5,110.0,110181,1982,80.0,12.0,красногвардейский,ладожская,spb
35600000,6,11,5,145.0,245517,2021,73.0,35.0,выборгский,выборгская,spb
54266900,2,6,5,259.6,209040,1913,91.0,10.0,центральный,чернышевская,spb
15500000,6,6,5,96.2,161122,1904,58.0,15.0,центральный,площадь восстания,spb
20900000,4,4,5,95.7,218390,1898,60.0,11.0,адмиралтейский,сенная площадь,spb
18500000,2,5,5,141.2,131019,1876,102.0,14.0,адмиралтейский,балтийская,spb
17000000,1,6,5,110.0,154545,1914,68.0,14.0,центральный,площадь восстания,spb
36500000,15,15,5,212.0,172169,1999,152.0,15.0,выборгский,проспект просвещения,spb
29900000,4,4,5,172.0,173837,2017,0.0,15.0,курортный,курортный,spb
35000000,5,6,5,172.0,203488,1873,111.0,13.0,центральный,чернышевская,spb
35500000,4,4,5,157.9,224825,1830,0.0,30.0,адмиралтейский,адмиралтейская,spb
39000000,8,8,5,198.0,196969,2020,0.0,35.0,московский,звездная,spb
40000000,3,5,5,180.0,222222,1917,150.0,25.0,адмиралтейский,технологический институт,spb
50000000,13,13,5,203.0,246305,2017,104.0,45.0,приморский,беговая,spb
55000000,1,6,5,150.5,365448,1946,105.0,21.0,петроградский,спортивная,spb
57000000,3,6,5,232.6,245055,1901,166.0,28.0,центральный,чернышевская,spb
60000000,2,5,5,159.0,377358,1907,103.0,14.0,центральный,чернышевская,spb
65000000,3,4,5,280.0,232142,2012,97.0,50.0,приморский,удельная,spb
65000000,2,4,5,203.0,320197,2012,127.0,18.0,приморский,удельная,spb
65000000,17,18,5,226.9,286469,2004,136.0,31.0,василеостровский,приморская,spb
78000000,6,6,5,249.3,312876,1913,126.0,62.0,петроградский,петроградская,spb
79900000,4,9,5,164.0,487195,2006,0.0,0.0,петроградский,крестовский остров,spb
80000000,2,5,5,252.0,317460,1891,0.0,67.0,центральный,достоевская,spb
80000000,1,3,5,324.0,246913,2003,235.0,35.0,приморский,удельная,spb
87750000,5,10,5,186.0,471774,2022,0.0,0.0,петроградский,крестовский остров,spb
90000000,19,25,5,212.0,424528,2014,0.0,32.0,московский,звездная,spb
93500000,3,4,5,286.0,326923,1902,0.0,80.0,центральный,чернышевская,spb
100000000,10,10,5,210.0,476190,2007,135.0,46.0,петроградский,спортивная,spb
117600000,2,7,5,196.0,600000,2020,0.0,0.0,петроградский,крестовский остров,spb
119000000,5,6,5,309.0,385113,1872,255.0,28.0,адмиралтейский,адмиралтейская,spb
120000000,2,5,5,237.0,506329,2013,176.0,22.0,центральный,площадь восстания,spb
129000000,9,13,5,322.0,400621,2017,136.0,152.0,петроградский,петроградский,spb
129000000,9,13,5,320.0,403125,2017,0.0,0.0,петроградский,чкаловская,spb
134500000,7,10,5,236.0,569915,2022,90.0,57.0,петроградский,крестовский остров,spb
134554200,7,7,5,237.0,567739,2022,118.0,26.0,петроградский,крестовский остров,spb
138000000,2,5,5,257.5,535922,1872,0.0,0.0,адмиралтейский,адмиралтейская,spb
149000000,2,2,5,374.8,397545,2000,94.0,47.0,пушкинский,звездная,spb
150000000,2,5,5,256.2,585480,1798,128.0,39.0,центральный,гостиный двор,spb
175000000,13,14,5,340.0,514705,2006,0.0,0.0,василеостровский,приморская,spb
240000000,5,5,5,380.0,631578,2001,0.0,0.0,центральный,гостиный двор,spb
240000000,8,14,5,342.0,701754,2017,88.0,205.0,петроградский,спортивная,spb
247000000,3,5,5,206.4,1196705,1872,120.0,33.0,центральный,адмиралтейская,spb
265872360,3,7,5,253.0,1050878,2007,147.0,41.0,петроградский,крестовский остров,spb
9500000,4,5,5,77.0,123376,1935,43.0,10.0,невский,обухово,spb
20000000,4,4,5,140.0,142857,1859,0.0,0.0,центральный,центральный,spb
98000000,11,12,5,247.9,395320,2009,143.0,17.0,центральный,чернышевская,spb
140000000,2,9,4,227.6,615114,2015,124.0,16.0,центральный,звенигородская,spb
325165000,4,6,0,355.8,913898,1906,193.0,21.0,центральный,чернышевская,spb
153600000,1,6,0,309.6,496124,1906,151.0,21.0,центральный,чернышевская,spb
126324000,9,9,0,240.0,526350,2022,135.0,27.0,центральный,чернышевская,spb
204517200,4,6,0,286.0,715095,1910,168.0,53.0,центральный,достоевская,spb
146000000,4,4,0,640.0,228125,1902,200.0,20.0,василеостровский,василеостровская,spb
264699000,7,7,4,246.07,1075706,2020,97.0,0.0,центральный,чернышевская,spb
160000000,4,4,0,631.2,253485,1946,373.0,0.0,центральный,чернышевская,spb
115000000,2,6,0,344.7,333623,1916,254.0,26.0,центральный,площадь ленина,spb
250000000,7,7,3,260.0,961538,2023,0.0,0.0,центральный,площадь ленина,spb
278000000,4,7,0,356.0,780898,1906,0.0,0.0,центральный,чернышевская,spb
110000000,5,5,0,370.0,297297,1909,240.0,23.0,центральный,маяковская,spb
